"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
92,531288.5791,4419964.11,0.0060253739749354,0.00399865820634603,0,0.0178259671826816,150,"RF","P90",0.0831089141044258,0,"Below_P90"
93,531313.5791,4419964.11,0.00617189681314673,0.00405466704592217,0,0.0183242363199108,150,"RF","P90",0.0831089141044258,0,"Below_P90"
94,531338.5791,4419964.11,0.00633255568010501,0.00412775656951131,0,0.0196147339714484,150,"RF","P90",0.0831089141044258,0,"Below_P90"
95,531363.5791,4419964.11,0.0074637330493816,0.00463831010500569,0,0.0196147339714484,150,"RF","P90",0.0831089141044258,0,"Below_P90"
96,531388.5791,4419964.11,0.00691211441465411,0.00441311492951876,0,0.0196147339714484,150,"RF","P90",0.0831089141044258,0,"Below_P90"
97,531413.5791,4419964.11,0.0443321868785766,0.0259923790111898,0,0.124191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
98,531438.5791,4419964.11,0.022208784783218,0.0108351435500351,0,0.0473852029477066,150,"RF","P90",0.0831089141044258,0,"Below_P90"
99,531463.5791,4419964.11,0.0428713121868195,0.0254879378031082,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
100,531488.5791,4419964.11,0.0428713121868195,0.0254879378031082,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
101,531513.5791,4419964.11,0.0436031245599074,0.0254717060133407,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
102,531538.5791,4419964.11,0.0417507279467126,0.0252128998757314,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
